Task,Channel,Channel Name,Random Forest Accuracy,XGBoost Accuracy
Healthy vs Patient,13,T4,0.8333333333333334,0.8333333333333334
Healthy vs Patient,17,Cz,0.7777777777777778,0.7777777777777778
Healthy vs Patient,3,F4,0.6666666666666666,0.5
Healthy vs Patient,10,F7,0.6666666666666666,0.6111111111111112
Healthy vs Patient,12,T3,0.6666666666666666,0.6666666666666666
Healthy vs Patient,15,T6,0.6666666666666666,0.8333333333333334
Healthy vs Patient,1,Fp2,0.6111111111111112,0.7222222222222222
Healthy vs Patient,9,O2,0.6111111111111112,0.6666666666666666
Healthy vs Patient,11,F8,0.6111111111111112,0.5
Healthy vs Patient,14,T5,0.6111111111111112,0.5
Healthy vs Patient,18,Pz,0.6111111111111112,0.7222222222222222
Healthy vs Patient,0,Fp1,0.5555555555555556,0.7777777777777778
Healthy vs Patient,2,F3,0.5555555555555556,0.5555555555555556
Healthy vs Patient,4,C3,0.5555555555555556,0.6666666666666666
Healthy vs Patient,16,Fz,0.5555555555555556,0.5
Healthy vs Patient,5,C4,0.5,0.5555555555555556
Healthy vs Patient,6,P3,0.5,0.5555555555555556
Healthy vs Patient,7,P4,0.4444444444444444,0.5555555555555556
