Scenario,Feature Combo,Model,Channel,Precision,Recall,F1 Score,Accuracy
Healthy vs AD,Temporal,Random Forest,3,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Temporal,XGBoost,3,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Temporal,Random Forest,4,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Temporal,XGBoost,4,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Temporal,Random Forest,5,0.804195804195804,0.6923076923076923,0.6495726495726496,0.6923076923076923
Healthy vs AD,Temporal,XGBoost,5,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Temporal,Random Forest,6,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Temporal,XGBoost,6,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Temporal,Random Forest,7,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs AD,Temporal,XGBoost,7,0.3884615384615385,0.38461538461538464,0.3772893772893772,0.38461538461538464
Healthy vs AD,Temporal,Random Forest,8,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Temporal,XGBoost,8,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Temporal,Random Forest,9,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Temporal,XGBoost,9,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs AD,Temporal,Random Forest,10,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs AD,Temporal,XGBoost,10,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs AD,Temporal,Random Forest,11,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Temporal,XGBoost,11,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Temporal,Random Forest,12,0.29423076923076924,0.3076923076923077,0.2993006993006993,0.3076923076923077
Healthy vs AD,Temporal,XGBoost,12,0.2153846153846154,0.3076923076923077,0.25339366515837103,0.3076923076923077
Healthy vs AD,Temporal,Random Forest,13,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Temporal,XGBoost,13,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Temporal,Random Forest,14,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs AD,Temporal,XGBoost,14,0.22307692307692312,0.23076923076923078,0.22161172161172157,0.23076923076923078
Healthy vs AD,Temporal,Random Forest,15,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Temporal,XGBoost,15,0.5538461538461539,0.5384615384615384,0.532967032967033,0.5384615384615384
Healthy vs AD,Temporal,Random Forest,16,0.2153846153846154,0.3076923076923077,0.25339366515837103,0.3076923076923077
Healthy vs AD,Temporal,XGBoost,16,0.5244755244755245,0.5384615384615384,0.47435897435897434,0.5384615384615384
Healthy vs AD,Temporal,Random Forest,17,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs AD,Temporal,XGBoost,17,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs AD,Temporal,Random Forest,18,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Temporal,XGBoost,18,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs FTD,Temporal,Random Forest,0,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Temporal,XGBoost,0,0.3696969696969697,0.36363636363636365,0.36363636363636365,0.36363636363636365
Healthy vs FTD,Temporal,Random Forest,1,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Temporal,XGBoost,1,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,Random Forest,2,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,XGBoost,2,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,Random Forest,3,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,XGBoost,3,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
Healthy vs FTD,Temporal,Random Forest,4,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.7272727272727273
Healthy vs FTD,Temporal,XGBoost,4,0.7305194805194805,0.7272727272727273,0.7226107226107227,0.7272727272727273
Healthy vs FTD,Temporal,Random Forest,5,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.5454545454545454
Healthy vs FTD,Temporal,XGBoost,5,0.2727272727272727,0.45454545454545453,0.3409090909090909,0.45454545454545453
Healthy vs FTD,Temporal,Random Forest,6,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
Healthy vs FTD,Temporal,XGBoost,6,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
Healthy vs FTD,Temporal,Random Forest,7,0.538961038961039,0.5454545454545454,0.5376845376845377,0.5454545454545454
Healthy vs FTD,Temporal,XGBoost,7,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
Healthy vs FTD,Temporal,Random Forest,8,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
Healthy vs FTD,Temporal,XGBoost,8,0.538961038961039,0.5454545454545454,0.5376845376845377,0.5454545454545454
Healthy vs FTD,Temporal,Random Forest,9,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,XGBoost,9,0.18484848484848485,0.18181818181818182,0.18181818181818182,0.18181818181818182
Healthy vs FTD,Temporal,Random Forest,10,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
Healthy vs FTD,Temporal,XGBoost,10,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Temporal,Random Forest,11,0.5909090909090909,0.5454545454545454,0.5221445221445221,0.5454545454545454
Healthy vs FTD,Temporal,XGBoost,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
Healthy vs FTD,Temporal,Random Forest,12,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Temporal,XGBoost,12,0.15584415584415584,0.18181818181818182,0.16783216783216784,0.18181818181818182
Healthy vs FTD,Temporal,Random Forest,13,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Healthy vs FTD,Temporal,XGBoost,13,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Healthy vs FTD,Temporal,Random Forest,14,0.20454545454545456,0.2727272727272727,0.23376623376623373,0.2727272727272727
Healthy vs FTD,Temporal,XGBoost,14,0.18484848484848485,0.18181818181818182,0.18181818181818182,0.18181818181818182
Healthy vs FTD,Temporal,Random Forest,15,0.8181818181818182,0.7272727272727273,0.6961038961038961,0.7272727272727273
Healthy vs FTD,Temporal,XGBoost,15,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
Healthy vs FTD,Temporal,Random Forest,16,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Healthy vs FTD,Temporal,XGBoost,16,0.7305194805194805,0.7272727272727273,0.7226107226107227,0.7272727272727273
Healthy vs FTD,Temporal,Random Forest,17,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Temporal,XGBoost,17,0.2727272727272727,0.45454545454545453,0.3409090909090909,0.45454545454545453
Healthy vs FTD,Temporal,Random Forest,18,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Temporal,XGBoost,18,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
AD vs FTD,Temporal,Random Forest,0,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Temporal,XGBoost,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Temporal,Random Forest,1,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Temporal,XGBoost,1,0.3523809523809524,0.3333333333333333,0.3333333333333333,0.3333333333333333
AD vs FTD,Temporal,Random Forest,2,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Temporal,XGBoost,2,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Temporal,Random Forest,3,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Temporal,XGBoost,3,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Temporal,Random Forest,4,0.9270833333333334,0.9166666666666666,0.9148148148148149,0.9166666666666666
AD vs FTD,Temporal,XGBoost,4,0.7047619047619048,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Temporal,Random Forest,5,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Temporal,XGBoost,5,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
AD vs FTD,Temporal,Random Forest,6,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
AD vs FTD,Temporal,XGBoost,6,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
AD vs FTD,Temporal,Random Forest,7,0.4305555555555555,0.4166666666666667,0.42074592074592077,0.4166666666666667
AD vs FTD,Temporal,XGBoost,7,0.5,0.5,0.5,0.5
AD vs FTD,Temporal,Random Forest,8,0.2916666666666667,0.4166666666666667,0.34313725490196084,0.4166666666666667
AD vs FTD,Temporal,XGBoost,8,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
AD vs FTD,Temporal,Random Forest,9,0.4305555555555555,0.4166666666666667,0.42074592074592077,0.4166666666666667
AD vs FTD,Temporal,XGBoost,9,0.763888888888889,0.75,0.7517482517482518,0.75
AD vs FTD,Temporal,Random Forest,10,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Temporal,XGBoost,10,0.5,0.5,0.5,0.5
AD vs FTD,Temporal,Random Forest,11,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Temporal,XGBoost,11,0.2916666666666667,0.4166666666666667,0.34313725490196084,0.4166666666666667
AD vs FTD,Temporal,Random Forest,12,0.5,0.5,0.5,0.5
AD vs FTD,Temporal,XGBoost,12,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Temporal,Random Forest,13,0.8249999999999998,0.75,0.7184873949579832,0.75
AD vs FTD,Temporal,XGBoost,13,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Temporal,Random Forest,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Temporal,XGBoost,14,0.75,0.75,0.7444444444444445,0.75
AD vs FTD,Temporal,Random Forest,15,0.5,0.5,0.5,0.5
AD vs FTD,Temporal,XGBoost,15,0.5,0.5,0.5,0.5
AD vs FTD,Temporal,Random Forest,16,0.21875,0.25,0.23333333333333336,0.25
AD vs FTD,Temporal,XGBoost,16,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
AD vs FTD,Temporal,Random Forest,17,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
AD vs FTD,Temporal,XGBoost,17,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Temporal,Random Forest,18,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Temporal,XGBoost,18,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,0,0.40625,0.375,0.38492063492063494,0.375
AD Male vs Female,Temporal,XGBoost,0,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,1,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,1,0.40625,0.375,0.38492063492063494,0.375
AD Male vs Female,Temporal,Random Forest,2,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,2,0.15625,0.125,0.1388888888888889,0.125
AD Male vs Female,Temporal,Random Forest,3,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Temporal,XGBoost,3,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,4,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Temporal,XGBoost,4,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Temporal,Random Forest,5,0.0625,0.125,0.08333333333333333,0.125
AD Male vs Female,Temporal,XGBoost,5,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Temporal,Random Forest,6,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,6,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Temporal,Random Forest,7,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Temporal,XGBoost,7,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Temporal,Random Forest,8,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Temporal,XGBoost,8,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,9,0.40625,0.375,0.38492063492063494,0.375
AD Male vs Female,Temporal,XGBoost,9,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,10,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,10,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Temporal,Random Forest,11,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Temporal,XGBoost,11,0.4375,0.375,0.34523809523809523,0.375
AD Male vs Female,Temporal,Random Forest,12,0.75,0.75,0.75,0.75
AD Male vs Female,Temporal,XGBoost,12,0.8958333333333334,0.875,0.8681818181818182,0.875
AD Male vs Female,Temporal,Random Forest,13,0.75,0.75,0.75,0.75
AD Male vs Female,Temporal,XGBoost,13,0.5666666666666667,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,14,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,14,0.40625,0.375,0.38492063492063494,0.375
AD Male vs Female,Temporal,Random Forest,15,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Temporal,XGBoost,15,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Temporal,Random Forest,16,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Temporal,XGBoost,16,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Temporal,Random Forest,17,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Temporal,XGBoost,17,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,Random Forest,18,0.5,0.5,0.5,0.5
AD Male vs Female,Temporal,XGBoost,18,0.5,0.5,0.5,0.5
FTD Male vs Female,Temporal,Random Forest,0,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,0,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,Random Forest,1,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,1,1.0,1.0,1.0,1.0
FTD Male vs Female,Temporal,Random Forest,2,0.8,0.6,0.5666666666666667,0.6
FTD Male vs Female,Temporal,XGBoost,2,0.8,0.6,0.5666666666666667,0.6
FTD Male vs Female,Temporal,Random Forest,3,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,3,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,Random Forest,4,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,XGBoost,4,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,Random Forest,5,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,XGBoost,5,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,Random Forest,6,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,6,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,Random Forest,7,0.8666666666666666,0.8,0.8,0.8
FTD Male vs Female,Temporal,XGBoost,7,0.8666666666666666,0.8,0.8,0.8
FTD Male vs Female,Temporal,Random Forest,8,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,8,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,Random Forest,9,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,9,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,Random Forest,10,0.1,0.2,0.13333333333333333,0.2
FTD Male vs Female,Temporal,XGBoost,10,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,Random Forest,11,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,XGBoost,11,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,Random Forest,12,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,XGBoost,12,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,Random Forest,13,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,XGBoost,13,0.8,0.6,0.5666666666666667,0.6
FTD Male vs Female,Temporal,Random Forest,14,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,XGBoost,14,0.8,0.6,0.5666666666666667,0.6
FTD Male vs Female,Temporal,Random Forest,15,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,XGBoost,15,0.6,0.6,0.6,0.6
FTD Male vs Female,Temporal,Random Forest,16,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,XGBoost,16,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Temporal,Random Forest,17,1.0,1.0,1.0,1.0
FTD Male vs Female,Temporal,XGBoost,17,1.0,1.0,1.0,1.0
FTD Male vs Female,Temporal,Random Forest,18,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Temporal,XGBoost,18,0.2,0.2,0.2,0.2
Healthy vs Patient,Frequency,Random Forest,0,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,0,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5555555555555556
Healthy vs Patient,Frequency,Random Forest,1,0.8307692307692308,0.8333333333333334,0.8290909090909091,0.8333333333333334
Healthy vs Patient,Frequency,XGBoost,1,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Frequency,Random Forest,2,0.8307692307692308,0.8333333333333334,0.8290909090909091,0.8333333333333334
Healthy vs Patient,Frequency,XGBoost,2,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Healthy vs Patient,Frequency,Random Forest,3,0.735930735930736,0.7222222222222222,0.7268673355629878,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,3,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Healthy vs Patient,Frequency,Random Forest,4,0.8083333333333333,0.7777777777777778,0.7835497835497836,0.7777777777777778
Healthy vs Patient,Frequency,XGBoost,4,0.8441558441558441,0.8333333333333334,0.8361204013377928,0.8333333333333334
Healthy vs Patient,Frequency,Random Forest,5,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,5,0.7738095238095238,0.7777777777777778,0.764102564102564,0.7777777777777778
Healthy vs Patient,Frequency,Random Forest,6,0.7738095238095238,0.7777777777777778,0.764102564102564,0.7777777777777778
Healthy vs Patient,Frequency,XGBoost,6,0.7738095238095238,0.7777777777777778,0.764102564102564,0.7777777777777778
Healthy vs Patient,Frequency,Random Forest,7,0.5916666666666666,0.5555555555555556,0.5670995670995671,0.5555555555555556
Healthy vs Patient,Frequency,XGBoost,7,0.6277056277056277,0.6111111111111112,0.6176142697881828,0.6111111111111112
Healthy vs Patient,Frequency,Random Forest,8,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Frequency,XGBoost,8,0.5948717948717949,0.6111111111111112,0.6012121212121212,0.6111111111111112
Healthy vs Patient,Frequency,Random Forest,9,0.8307692307692308,0.8333333333333334,0.8290909090909091,0.8333333333333334
Healthy vs Patient,Frequency,XGBoost,9,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Frequency,Random Forest,10,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Frequency,XGBoost,10,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Frequency,Random Forest,11,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,11,0.7738095238095238,0.7777777777777778,0.764102564102564,0.7777777777777778
Healthy vs Patient,Frequency,Random Forest,12,0.9047619047619047,0.8888888888888888,0.882051282051282,0.8888888888888888
Healthy vs Patient,Frequency,XGBoost,12,0.8307692307692308,0.8333333333333334,0.8290909090909091,0.8333333333333334
Healthy vs Patient,Frequency,Random Forest,13,0.9047619047619047,0.8888888888888888,0.882051282051282,0.8888888888888888
Healthy vs Patient,Frequency,XGBoost,13,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
Healthy vs Patient,Frequency,Random Forest,14,0.6277056277056277,0.6111111111111112,0.6176142697881828,0.6111111111111112
Healthy vs Patient,Frequency,XGBoost,14,0.6277056277056277,0.6111111111111112,0.6176142697881828,0.6111111111111112
Healthy vs Patient,Frequency,Random Forest,15,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,15,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Frequency,Random Forest,16,0.8666666666666667,0.8333333333333334,0.8148148148148148,0.8333333333333334
Healthy vs Patient,Frequency,XGBoost,16,0.8666666666666667,0.8333333333333334,0.8148148148148148,0.8333333333333334
Healthy vs Patient,Frequency,Random Forest,17,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs Patient,Frequency,XGBoost,17,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
